City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
139,Honiara,SB,2022-03-29 16:56:46,-9.4333,159.95,78.17,87,96,3.4,overcast clouds
140,Padre Bernardo,BR,2022-03-29 16:56:46,-15.35,-48.5,88.88,36,95,4.83,overcast clouds
141,Baruun-Urt,MN,2022-03-29 16:56:46,46.6806,113.2792,20.37,32,22,5.06,few clouds
142,Sao Joao Da Barra,BR,2022-03-29 16:56:47,-21.6403,-41.0511,87.89,72,92,9.75,overcast clouds
143,Nikolskoye,RU,2022-03-29 16:56:47,59.7035,30.7861,24.8,84,98,6.53,overcast clouds
144,Bida,NG,2022-03-29 16:56:47,9.0833,6.0167,101.17,19,28,3.8,scattered clouds
145,Dikson,RU,2022-03-29 16:56:47,73.5069,80.5464,11.68,94,100,11.81,light snow
146,Esperance,AU,2022-03-29 16:56:48,-33.8667,121.9,60.64,78,99,12.57,overcast clouds
147,Hilo,US,2022-03-29 16:53:06,19.7297,-155.09,68.25,81,100,3.0,overcast clouds
148,Dukat,RU,2022-03-29 16:56:48,62.55,155.55,-0.17,98,100,3.98,overcast clouds
149,Touros,BR,2022-03-29 16:56:49,-5.1989,-35.4608,86.45,62,98,15.37,moderate rain
150,Kapaa,US,2022-03-29 16:52:48,22.0752,-159.319,69.19,81,20,9.22,light rain
151,Vardo,NO,2022-03-29 16:56:49,70.3705,31.1107,28.38,80,75,24.16,light shower snow
152,Luganville,VU,2022-03-29 16:56:50,-15.5333,167.1667,78.37,88,100,2.37,overcast clouds
153,Roebourne,AU,2022-03-29 16:56:50,-20.7833,117.1333,83.89,67,87,5.1,overcast clouds
154,Tuktoyaktuk,CA,2022-03-29 16:56:50,69.4541,-133.0374,-23.8,76,0,6.91,clear sky
155,Qasigiannguit,GL,2022-03-29 16:56:51,68.8193,-51.1922,23.29,86,30,3.2,scattered clouds
156,Takoradi,GH,2022-03-29 16:56:51,4.8845,-1.7554,84.42,75,54,12.91,broken clouds
157,Nakusp,CA,2022-03-29 16:56:51,50.2499,-117.8023,41.47,100,52,2.3,broken clouds
158,Poum,NC,2022-03-29 16:56:52,-20.2333,164.0167,81.14,83,98,20.04,overcast clouds
159,Atar,MR,2022-03-29 16:56:52,20.5169,-13.0499,92.14,12,17,12.82,few clouds
160,Arraial Do Cabo,BR,2022-03-29 16:56:52,-22.9661,-42.0278,80.56,83,75,12.66,broken clouds
161,Namatanai,PG,2022-03-29 16:56:52,-3.6667,152.4333,80.55,79,68,8.41,broken clouds
162,Porbandar,IN,2022-03-29 16:56:53,21.6422,69.6093,80.4,70,0,8.7,clear sky
163,Roald,NO,2022-03-29 16:56:53,62.5833,6.1333,34.72,93,40,5.75,scattered clouds
164,Fort Nelson,CA,2022-03-29 16:56:54,58.8053,-122.7002,24.39,68,100,3.44,overcast clouds
165,Matara,LK,2022-03-29 16:56:54,5.9485,80.5353,77.81,87,51,3.13,broken clouds
166,Hansi,IN,2022-03-29 16:56:54,29.1,75.9667,85.48,9,0,6.8,clear sky
167,New Norfolk,AU,2022-03-29 16:56:55,-42.7826,147.0587,58.91,57,100,1.99,overcast clouds
168,Maryborough,AU,2022-03-29 16:56:56,-25.5333,152.7,69.12,87,1,5.5,clear sky
169,Mazyr,BY,2022-03-29 16:56:56,52.0495,29.2456,43.52,69,99,6.44,overcast clouds
170,Vila Franca Do Campo,PT,2022-03-29 16:53:20,37.7167,-25.4333,61.21,94,98,7.25,overcast clouds
171,Berbera,SO,2022-03-29 16:56:56,10.4396,45.0143,79.97,66,48,3.85,scattered clouds
172,Kuchinarai,TH,2022-03-29 16:56:56,16.541,104.05,79.77,68,18,3.78,few clouds
173,Altay,CN,2022-03-29 16:56:57,47.8667,88.1167,26.35,67,71,6.87,broken clouds
174,Ponta Do Sol,PT,2022-03-29 16:56:57,32.6667,-17.1,70.72,70,3,4.76,clear sky
175,Klaksvik,FO,2022-03-29 16:56:57,62.2266,-6.589,36.52,49,100,19.8,overcast clouds
176,Narsaq,GL,2022-03-29 16:56:58,60.9167,-46.05,34.68,63,36,3.22,scattered clouds
177,Bambous Virieux,MU,2022-03-29 16:56:58,-20.3428,57.7575,79.05,78,40,3.44,scattered clouds
178,Nanortalik,GL,2022-03-29 16:56:58,60.1432,-45.2371,32.81,75,48,4.27,scattered clouds
179,Faya,SA,2022-03-29 16:57:58,18.3851,42.4509,68.11,26,1,0.94,clear sky
180,Torbay,CA,2022-03-29 16:57:59,47.6666,-52.7314,41.77,79,100,6.91,overcast clouds
181,Clyde River,CA,2022-03-29 16:57:59,70.4692,-68.5914,5.23,85,20,8.05,few clouds
182,Christchurch,NZ,2022-03-29 16:53:18,-43.5333,172.6333,58.95,87,20,3.44,light rain
183,Tura,IN,2022-03-29 16:57:59,25.5198,90.2201,74.35,51,63,4.54,broken clouds
184,Uyar,RU,2022-03-29 16:58:00,55.81,94.3153,13.28,94,65,3.27,broken clouds
185,Zhuanghe,CN,2022-03-29 16:58:00,39.7008,122.9911,42.24,93,100,7.29,overcast clouds
186,Tautira,PF,2022-03-29 16:58:00,-17.7333,-149.15,81.27,75,27,15.73,scattered clouds
187,Itoman,JP,2022-03-29 16:58:01,26.1247,127.6694,71.62,88,75,12.66,broken clouds
188,Neepawa,CA,2022-03-29 16:58:01,50.2289,-99.4664,34.2,89,100,3.67,light snow
189,Banepa,NP,2022-03-29 16:58:01,27.6298,85.5214,64.72,88,40,4.61,mist
190,Rawson,AR,2022-03-29 16:55:40,-43.3002,-65.1023,56.75,34,60,34.99,broken clouds
191,Tiksi,RU,2022-03-29 16:58:02,71.6872,128.8694,-1.25,96,100,5.23,overcast clouds
192,Ouadda,CF,2022-03-29 16:58:03,8.0777,22.4007,85.59,13,36,4.14,scattered clouds
193,Hambantota,LK,2022-03-29 16:58:03,6.1241,81.1185,80.24,80,46,3.78,scattered clouds
194,Rocha,UY,2022-03-29 16:58:03,-34.4833,-54.3333,85.12,32,0,14.41,clear sky
195,Coos Bay,US,2022-03-29 16:56:10,43.3665,-124.2179,52.32,91,100,9.22,overcast clouds
196,Cabinda,AO,2022-03-29 16:58:04,-5.55,12.2,77.14,94,75,6.91,broken clouds
197,Chulym,RU,2022-03-29 16:58:04,55.0997,80.9572,31.41,92,97,12.62,overcast clouds
198,Banjar,ID,2022-03-29 16:58:04,-8.19,114.9675,76.77,88,74,5.23,broken clouds
199,Casper,US,2022-03-29 16:55:04,42.8666,-106.3131,39.61,94,100,18.75,overcast clouds
200,Ransang,PH,2022-03-29 16:58:05,8.9603,117.5828,77.61,86,100,3.29,overcast clouds
201,Bonavista,CA,2022-03-29 16:58:05,48.6499,-53.1147,36.14,76,91,8.39,overcast clouds
202,Beringovskiy,RU,2022-03-29 16:58:06,63.05,179.3167,-3.32,98,100,10.98,overcast clouds
203,Ketchikan,US,2022-03-29 16:58:06,55.3422,-131.6461,38.05,98,100,6.58,moderate rain
204,Nagapattinam,IN,2022-03-29 16:58:07,10.7667,79.8333,82.49,83,0,10.65,clear sky
205,Sauda,NO,2022-03-29 16:58:07,59.6506,6.3542,40.68,72,44,2.17,scattered clouds
